preferredLabel,altLabels,skillType,reuseLevel,description,broaderConceptPT
manage multi frequency wireless signal distribution,,skill/competence,occupation-specific,"Manage the set-up of wireless equipment for distribution of wireless control signals for performing art and event applications. Develop frequency plans, configure, test and monitor equipment and measures frequency spectrum. Ensure there is no interference between the different frequencies and channels and industry standard security for these devices.",operating audio-visual equipment
printing on large scale machines,printing on large scale equipment | printing on large scale machinery | printing on large scale apparatus | printing on large scale machine | printing on large scale technology | printing on large scale system | printing on large scale machines,knowledge,sector-specific,"Methods, processes, and restrictions related to printing on machines that produce large quantities and sizes of graphic print materials.",audio-visual techniques and media production
use thermal management,use thermal management | thermal management using | provide thermal management | provide thermal management solutions | thermal management solutions providing | providing thermal management | thermal management use | thermal management providing | providing thermal management solutions | using thermal management,skill/competence,sector-specific,"Provide thermal management solutions for product design, system development and electronic devices used to protect high power systems and applications in demanding environments. These can be eventually collaborated with customers or other engineers.",protecting ict devices
digitise documents,scan documents | digitize  documents,skill/competence,cross-sector,"Load analog documents by converting them into a digital format, using specialised hardware and software.","process qualitative information | managing, gathering and storing digital data | manage digital documents"
create online news content,create news content online | create on-line news content | make online news content | produce online news content | creating online news content | develop online news content | create online news content,skill/competence,sector-specific,"Create and upload news content for e.g. websites, blogs and social media.",compile content | developing instructive or promotional materials
geographic information systems,geospatial technologies | GPS | geographic information systems | RS | rs | remote sensing | gps | GIS | global positioning systems | gis,knowledge,sector-specific,"The tools involved in geographical mapping and positioning, such as GPS (global positioning systems), GIS (geographical information systems), and RS (remote sensing).",earth sciences
e-procurement,e buying | e-procurement | e purchasing | e tendering | e-procuring | e selling,knowledge,sector-specific,The functioning and methods used to manage electronic purchases.,wholesale and retail sales
apply tools for content development,apply tools for content development,skill/competence,cross-sector,"Use specialised content development tools such as content and terminology management systems, translation memory systems, language checker and editors to generate, compile and transform content according to specified standards.",using digital tools for collaboration and productivity
apply statistical analysis techniques,apply statistical analysis techniques | apply numerical analysis to data,skill/competence,cross-sector,"Use models (descriptive or inferential statistics) and techniques (data mining or machine learning) for statistical analysis and ICT tools to analyse data, uncover correlations and forecast trends.",analysing and evaluating information and data | carry out calculations
do cloud refactoring,refactoring,skill/competence,sector-specific,"Optimize application to best use cloud services and features, migrate existing application code to run on cloud infrastructure.",manage changes in ICT system | programming computer systems
run a media server,carry out planned installation of media system | run a media server | operate a media server | run a server for the media | running media servers,skill/competence,cross-sector,Set up and run a media server.,setting up computer systems
machine learning,ML,knowledge,cross-sector,"The principles, methods and algorithms of machine learning, a subfield of artificial intelligence. Common machine learning models such as supervised or unsupervised models, semi- supervised models and reinforcement learning models.",principles of artificial intelligence | information and communication technologies not elsewhere classified
CADD software,computer-aided design and drafting software | CADD softwares | CADD software | CADD software specifications and operations,knowledge,cross-sector,The computer-aided design and drafting (CADD) is the use of computer technology for design and design documentation. CAD software replaces manual drafting with an automated process.,software and applications development and analysis | CAD software
Oracle Data Integrator,Oracle Data Integrator | ODI,knowledge,sector-specific,"The computer program Oracle Data Integrator is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company Oracle.","data extraction, transformation and loading tools | database and network design and administration"
create software design,create software design | create application design,skill/competence,sector-specific,Transpose a series of requirements into a clear and organised software design.,designing ict systems or applications
ICT quality policy,ICT quality policy,knowledge,sector-specific,"The quality policy of the organisation and its objectives, the acceptable level of quality and the techniques to measure it, its legal aspects and the duties of specific departments to ensure quality.",management and administration
principles of distributed ledger technology,,knowledge,sector-specific,"The distributed ledger theories, applied principles, architectures and systems, such as decentralization, consensus mechanisms, smart contracts, trust, etc.",information and communication technologies not elsewhere classified
create SCORM packages,create SCORM packages,skill/competence,sector-specific,Develop educational packages for e-learning platforms using the Sharable Content Object Reference Model (SCORM) standard.,developing educational programmes
use specialised design software,utilize specialised design software | use specialized  design software | using specialised design software | work with specialised design software,skill/competence,cross-sector,Developing new designs mastering specialised software.,using computer aided design and drawing tools
use software for data preservation,preserve digital evidence | use software for data preservation,skill/competence,cross-sector,Utilise specialised applications and software to collect and preserve digital information.,"use specific data analysis software | managing, gathering and storing digital data | store digital data and systems | manage digital identity"
use computer-aided engineering systems,use computer-aided engineering systems | operate computer-aided engineering systems | work with CAE systems | apply computer-aided engineering systems | use a CAE system | utilise computer-aided engineering systems | deal with CAE systems | use CAE systems | use a computer-aided engineering system | employ CAE systems,skill/competence,cross-sector,Use computer-aided engineering software to conduct stress analyses on engineering designs.,using computer aided design and drawing tools
observe celestial objects,observe celestial object | observe celestial objects | see astral bodies | observing celestial objects | view celestial bodies,skill/competence,sector-specific,"Study the relative positions and movements of stars and planets, by using and interpreting data provided by specialised software and publications such as ephemeris.",analysing scientific and medical data
operate maritime communication equipment,maintain maritime communications equipment and devices | operate maritime communication equipment | use maritime communication devices | utilise maritime communication devices | undertake maritime communications equipment activities | maintain and operate maritime communications apparatus | use maritime communication equipment | perform operations using maritime communications equipment | carry out operations using maritime communications equipment | operate maritime communication devices | utilise maritime communication equipment,skill/competence,sector-specific,Operate and maintain maritime communication devices. Conduct periodic inspections of communication equipment.,manage safety standards for maritime water transport | simplify communication in maritime management | operating communications equipment
digital compositing,digital compositing,knowledge,cross-sector,"The process and software for digitally assembling multiple images to make one, final image.",audio-visual techniques and media production
JavaScript,Client-side JavaScript | Mocha | Escript | JavaScript 1.7 | Live script | CSJS | JavaScript 1.6 | JavaScripts | JavaScript | Server-side JavaScript | Java script | Live-script | Live Script | Live-Script | Javascript,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in JavaScript.",web programming | software and applications development and analysis | computer programming
decision support systems,decision support systems | decision-making tools | decision support software | decision support matrix,knowledge,sector-specific,The ICT systems that can be used to support business or organisational decision making.,computer use
DB2,"DB2 | DB2 database software | DB2 Connect | DB2 on Cloud | IBM DB2 database software | IBM DB2 | DB2 for Linux, UNIX and Windows | DB2 for z/OS | DB2 for i",knowledge,sector-specific,"The computer program IBM DB2 is a tool for creating, updating and managing databases, developed by the software company IBM.",database and network design and administration | database management systems
optimise choice of ICT solution,optimize  choice of ICT solution,skill/competence,sector-specific,"Select the appropriate solutions in the field of ICT while taking into account potential risks, benefits and overall impact.",solve technical problems | protecting ict devices
Microsoft Access,Access | Microsoft Access | MS Access | Microsoft Office Access,knowledge,sector-specific,"The computer program Access is a tool for creating, updating and managing databases, developed by the software company Microsoft.",database management systems | computer use
file documents,order documents | filing of documents | file documents | record documents,skill/competence,sector-specific,Create a filing system. Write a document catalogue. Label documents etc.,managing information
design web-based courses,design web-based courses,skill/competence,cross-sector,"Create web-based training and instruction courses using dynamic and static online tools to deliver learning outcomes to the audience of the course. Web tools used here can include streaming video and audio, live internet broadcasts, information portals, chatrooms and bulletin boards.",designing ict systems or applications
assemble hardware components,assembling computer hardware | computer hardware assembling | computer components assembling | install hardware | assembling computer components,skill/competence,cross-sector,"Assemble the necessary hardware components, such as the motherboard, Central Processing Unit (CPU), hard drive, disk drive, power supply unit, RAM, PCI card, mouse, keyboard, cameras and other necessary components to build the computer device. Attach the components manually using screwdrivers or use assembly machines and install the wiring.",working with computers
ICT accessibility standards,accessibility standards and guidelines | assistive technology standards | ICT accessibility standards | digital accessibility standards,knowledge,sector-specific,"The recommendations for making ICT content and applications more accessible to a wider range of people, mostly with disabilities, such as blindness and low vision, deafness and hearing loss and cognitive limitations. It includes standards such as Web Content Accessibility Guidelines (WCAG).",computer use
perform dimensionality reduction,Kohonen self-organizing map | data feature extraction | t-SNE | t-distributed stochastic neighbor embedding | multidimensional scaling | data feature engineering | data feature selection,skill/competence,cross-sector,"Reduce the number of variables or features for a dataset in machine learning algorithms through methods such as principal component analysis, matrix factorization, autoencoder methods, and others.",programming computer systems
3D texturing,3D texturing,knowledge,sector-specific,The process of applying a type of surface to a 3D image.,audio-visual techniques and media production
printed circuit boards testing methods,PCB testing methods | ICT | automated optical inspection | methods for testing PCBs | methods for testing printed circuit boards | testing methods for printed circuit boards | joint test action group test | AOI | in-circuit test | printed circuit boards testing methods | PCBs testing methods | JTAG test,knowledge,cross-sector,"Printed circuit board (PCB) testing methods consist of those processes in which PCB components or systems are tested, such as the in-circuit test (ICT), joint test action group (JTAG) test, and automated optical inspection (AOI).",database and network design and administration
data warehouse,data warehouse,knowledge,occupation-specific,The data storage system that analyses and reports on data such as a data mart.,database and network design and administration
XQuery,XQuery | XQuery 1.0 | XQuery 3.0,knowledge,sector-specific,The computer language XQuery is a query language for retrieval of information from a database and of documents containing the needed information. It is developed by the international standards organisation World Wide Web Consortium.,software and applications development and analysis | query languages
design ICT hardware placement,design ICT hardware placement,skill/competence,occupation-specific,Describe and plan how cables and related hardware items will be placed throughout the building.,developing operational policies and procedures
ICT security standards,IT security compliances | ICT security standards,knowledge,sector-specific,The standards regarding ICT security such as ISO and the techniques required to ensure compliance of the organisation with them.,database and network design and administration
share through digital technologies,share through digital technologies,skill/competence,cross-sector,"Share data, information and digital content with others through appropriate digital technologies. Act as an intermediary, know about referencing and attribution practices.",using digital tools for collaboration and productivity | digital communication and collaboration
Perl,Practical Extraction and Report Language | PERL | Perl | PONIE | Perl Camel | Ponie | Perl golf,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Perl.",software and applications development and analysis | computer programming
provide online help,provide online help,skill/competence,occupation-specific,Provide  support information  to users delivered through an ICT system to give assistance or present information either on a broad range of subjects or for a specific topic or product.,instruct others
test ground system performance,perform ground systems performance testing | execute ground systems performance testing | test performance of ground systems | assess functionality of ground systems | carry out ground systems performance testing | assess performance of ground systems | develop tests for ground system performance | develop tests for performance of ground systems | test ground system performance | conduct ground system performance testing | test functionality of ground systems,skill/competence,sector-specific,Develop test strategies for complex software and hardware products; include troubleshooting and system support; calculate system performance.,manage system testing | installing wooden and metal components
create advocacy material,design campaigning and enabling  material | design advocacy material | establish advocacy material | produce advocacy material | develop advocacy material | create advocacy material | produce campaigning and enabling  material | develop campaigning and enabling  material | establish campaigning and enabling  material,skill/competence,occupation-specific,"Design compelling content such as blog posts, messaging or social media campaigns in order to influence political, economic or social decisions.",advocating for individual or community needs
distribute control signals,distribute signals to control | allocate control signals | distribute control signals | assign control signals | distribute controlling signals,skill/competence,sector-specific,"Distribute control signals between light boards, dimmers and other lighting equipment. Control systems can be either DMX or network based.",operating audio-visual equipment
collect real-time geolocation information,,skill/competence,sector-specific,"Use tools, techniques, and procedures to remotely exploit and establish persistence on a target. Provide real-time, actionable geolocation information utilizing target infrastructures. ",gather data | gathering information from physical or electronic sources
use pipeline video equipment,use of pipeline video equipment | pipeline video equipment utilisation | using pipeline video equipment | pipeline video equipment usage | handling of video cameras | handle video cameras | visually inspect sewerage systems inspect sewerage systems visually | visual inspection of sewerage systems | use pipeline video equipment | utilisation of pipeline video equipment,skill/competence,sector-specific,Handle movable video cameras which visually inspect sewerage systems and pipelines. This camera is attached via a long cable entwined upon a winch. Analyse the footage to see if any repair or maintenance is needed.,using precision instrumentation and equipment
provide ICT system training,provide ICT system training,skill/competence,sector-specific,"Plan and conduct training of staff on system and network issues. Utilise training material, evaluate and report on the learning progress of trainees.",training on operational procedures | instruct others
monitor quality of broadcasts,monitoring quality of broadcasts | monitor quality of broadcasts | supervise quality of broadcasts | oversee quality of broadcasts | monitor quality of broadcast | manage quality of broadcasts,skill/competence,occupation-specific,"Monitor strength, clarity, and reliability of incoming and outgoing signals to adjust equipment as necessary to maintain the quality of the broadcast.",operating communications equipment | manage quality
industrial software,software used in industrial | estimating software | continuing professional development in industrial tools and software | industrial application of software | industrial software | software for industry | design software | production software,knowledge,cross-sector,"The selection of software that aids in estimating, managing and scheduling industrial processes such as design, work flow and production improvement.",computer use
perform data mining,perform data mining | mine data | use model data,skill/competence,sector-specific,"Explore large datasets to reveal patterns using statistics, database systems or artificial intelligence and present the information in a comprehensible way.","managing, gathering and storing digital data | use databases"
Pentaho Data Integration,Pentaho Data Integration | Pentaho Kettle | PDI,knowledge,sector-specific,"The computer program Pentaho Data Integration is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company Pentaho.","database and network design and administration | data extraction, transformation and loading tools"
emergent technologies,emergent technologies,knowledge,cross-sector,"The recent trends, developments and innovations in modern technologies such as biotechnology, artificial intelligence and robotics.",engineering and engineering trades not elsewhere classified
Smalltalk (computer programming),Smalltalk,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Smalltalk.",computer programming | software and applications development and analysis
identify technological needs,identify needs and technological responses,skill/competence,cross-sector,Assess needs and identify digital tools and possible technological responses to address them. Adjust and customise digital environments to personal needs (e.g. accessibility).,developing solutions | problem-solving with digital tools
PHP,Php5 | Php2 | PHP5-FPM | Php 5.0 | Phtml | Php 4 | Php 5.3 | ElePHPant | PHP7 | php | Php6 | PHP | Php3 | Php 5.1 | Php 5.4 | Php1 | PHP-FPM | PHTML | Php 5.2 | Php 6.0,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in PHP.",web programming | software and applications development and analysis | computer programming
software anomalies,software anomalies,knowledge,sector-specific,"The deviations of what is standard and exceptional events during software system performance, identification of incidents that can alter the flow and the process of system execution.",software and applications development and analysis
database,database | types of databases,knowledge,cross-sector,"The classification of databases, that includes their purpose, characteristics, terminology, models and use such as XML databases, document-oriented databases and full text databases.",database and network design and administration
digital marketing techniques,web marketing techniques | on-line marketing techniques | online marketing techniques | digital marketing techniques,knowledge,sector-specific,"The marketing techniques used on the web to reach and engage with stakeholders, customers and clients.",marketing and advertising
OpenEdge Database,OpenEdge Database | OpenEdge RDBMS Advanced Enterprise Edition | Progress OpenEdge Relational Database Management System | OpenEdge RDBMS,knowledge,sector-specific,"The computer program OpenEdge Database is a tool for creating, updating and managing databases, developed by the software company Progress Software Corporation.",database management systems | database and network design and administration
respond to incidents in cloud,,skill/competence,sector-specific,Troubleshoot issues with the cloud and determine how to restore operations. Design and automate disaster recovery strategies and evaluate a deployment for points of failure.,developing solutions | troubleshoot
operate video equipment,operating video equipment | conduct video equipment | perform video equipment | undertake use of video equipment | work video equipment | operate video equipment | video equipment operation,skill/competence,cross-sector,Use  of various types of video equipment.,operating audio-visual equipment
use geographic information systems,use GIS | utilise geographic information systems | conduct GIS activities | undertake activities using geographic information systems | use geographical information systems | use geographic information systems | carry out work tasks using GIS | utilise GIS | operate geographic information systems | operate GIS | conduct geographic information system activities | perform work tasks using geographic information systems,skill/competence,sector-specific,Work with computer data systems such as Geographic Information Systems (GIS).,"managing, gathering and storing digital data | use agricultural information systems and databases"
use databases,use database software | make use of databases | able to use using databases | use data bases | utilise databases | use databases | apply databases | use Dbs | use database | use database management systems,skill/competence,cross-sector,"Use software tools for managing and organising data in a structured environment which consists of attributes, tables and relationships in order to query and modify the stored data.","managing, gathering and storing digital data"
create game testing software,design testing software for games | create software to test games | develop game testing software | create game testing software | create software for game testing,skill/competence,occupation-specific,"Develop software to test and evaluate online and land-based gambling, betting and lottery games.",programming computer systems | plan software testing
Xcode,Xcode | Xcode 6 | Xcode 5 | Xcode IDE | Xcode 4 | Xcode 7,knowledge,sector-specific,"The computer program Xcode is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. It is developed by the software company Apple.",integrated development environment software | database and network design and administration
video-games trends,video-game trends | video-games trend | video game leanings | video game movements | video game drifts | video-games trends | video game directions,knowledge,cross-sector,Latest developments in the video-games industry.,toys and games trends | audio-visual techniques and media production
operate stowage programmes,utilise stowage programmes | use stowage programmes | use computerised stowage systems | conduct stowage activities with stowage programme | utilise stowage software | operate stowage programs | operate stowage software | perform actions using computerised stowage programmes | use stowage software | utilise computerised stowage systems | operate computerised stowage systems,skill/competence,sector-specific,"Operate stowage programmes used for controlling stability in vessels, loading operations, and cargo planning processes. Interpret graphical interfaces, stowage data and scenario variables.",using digital tools to control machinery
install mechatronic equipment,fit mechatronic equipment | mechatronic equipment installing | install mechatronic equipment | fitting mechatronic equipment | installing mechatronic equipment | mechatronic equipment fitting,skill/competence,sector-specific,Install equipment used for the automation of a specific machine or device.,"installing and repairing electrical, electronic and precision equipment"
use technology for forensics,using technology for forensics | utilize technology for forensics | use forensics technology | make use of technology for forensics | use technology for forensics,skill/competence,cross-sector,Operate specialised tools used for forensic investigations.,operating scientific and laboratory equipment | identify technological needs | perform forensic examinations
assess users' interaction with ICT applications,assess users' interaction with ICT applications,skill/competence,sector-specific,"Evaluate how users interact with ICT applications in order to analyse their behaviour, draw conclusions (for instance about their motives, expectations and goals) and improve applications' functionalities.",monitoring and evaluating the performance of individuals
integrate ICT data,integrate ICT data,skill/competence,sector-specific,Combine data from sources to provide unified view of the set of these data.,"managing, gathering and storing digital data"
prevent technical problems with media integration systems,,skill/competence,occupation-specific,"Adapt the use of media integration equipment and software to prevent undesired changes in the overall image and design, safeguarding the overall performing arts or event production quality. Including physical issues as well as digital ones like latency, interference or processor load.",operating audio-visual equipment
develop computer vision system,develop motion capture software | develop OCR,skill/competence,cross-sector,"Apply and combine different computer vision tools and methods such as image acquisition, image processing, image segmentation and classification, detection, etc. in one system to allow computers to extract information from digital images such as photographs or video.",programming computer systems
manage radiology information system,manage radiology information system | manage radiology information systems | manage and distribute radiological images and data | handle radiology information system | develop and maintain radiology information system | manage radiology-information system,skill/competence,sector-specific,"Develop and maintain a database to store, manage and distribute radiological images and data.",managing information | use databases | manage digital documents
use performance 3D visualisation techniques ,,skill/competence,occupation-specific,"Visualise a performance environment using 3D applications and pre-visualisation software. Create a proof of concept for the technical design using 3D CGI, mock-up or scale model. ",using digital tools for processing sound and images
analyse big data,analysing big data | search big data | big data analysing | scrutinise big data | test big data | investigate big data | big data analysis | analyze  big data,skill/competence,cross-sector,"Collect and evaluate numerical data in large quantities, especially for the purpose of identifying patterns between the data.","analyse test data | analysing and evaluating information and data | use data processing techniques | evaluate data, information and digital content | think critically | perform data analysis"
Assembly (computer programming),Assembly,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Assembly.",software and applications development and analysis | computer programming
system backup best practice,disaster recovery best practice | system backup best practice,knowledge,cross-sector,The procedures related to preparing for recovery or continuation of technology infrastructure vital to an organisation.,database and network design and administration
Spiral development,Spiral development,knowledge,sector-specific,The spiral development model is a methodology to design software systems and applications.,software and applications development and analysis | ICT project management methodologies
analyse pipeline database information,retrieve and assess information from pipeline company database | analyze  pipeline database information | assess pipeline database information | conduct analysis on pipeline database information | assess information in pipeline databases | evaluate pipeline database information | perform analysis on pipeline database information | evaluate information in pipeline databases | analyse information in pipeline databases | retrieve and analyse information from pipeline company database,skill/competence,sector-specific,"Retrieve and analyse different types of information extracted from the databases of pipelines companies. Analyse information such as risks, project management KPIs (key performance indicators), goods transportation times, and document back-up processes.",analysing business operations | manage quantitative data
software components libraries,software components libraries,knowledge,sector-specific,"The software packages, modules, web services and resources that cover a set of related functions and the databases where these reusable components can be found.",software and applications development and analysis
add computer components,computer component addition | append computer components | add a computer component | supplement computer components | add computer components | adding computer components | affix computer components | boost computer components,skill/competence,cross-sector,Perform small adjustments to various computers by adding components.,resolving computer problems
Schoology,Schoology,knowledge,sector-specific,"The computer program Schoology is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs.",learning management systems | database and network design and administration
compile GIS-data,compiling data from maps and other sources | compiling GIS-data | compilation of GIS-data | compilation of data from maps and other sources | compiling of data from maps and other sources | GIS-data compilation | compile data from maps and other sources | compiling of GIS-data | compile GIS-data,skill/competence,cross-sector,Gather and organise GIS-data from sources such as databases and maps.,gathering information from physical or electronic sources | collect mapping data
ObjectStore,Ignite’s ObjectStore Standard Edition | ObjectStore | Ignite ObjectStore | ObjectStore Standard Edition,knowledge,sector-specific,"The computer program ObjectStore is a tool for creating, updating and managing databases, developed by the software company Object Design, Incorporated.",database management systems | database and network design and administration
Chef (tools for software configuration management),Chef,knowledge,sector-specific,"The tool Chef is a software program which performs infrastructure configuration identification, control and automation aiming to ease the applications deployment.",tools for software configuration management | software and applications development and analysis
electronic and telecommunication equipment,electronic and telecommunication machines | electronic and telecommunication equipment | electronics and telecommunication equipment | electronic and telecommunication apparatus | electronic and telecommunication devices | electronics and telecommunications equipment | electronic and telecommunications equipment | electronic and telecommunication machinery,knowledge,sector-specific,"The offered electronic and telecommunication equipment and products, their functionalities, properties and legal and regulatory requirements.",electronics and automation | product comprehension
customise software for drive system,customising software for drive system | adapt drive system software | software adapting for drive system | drive system software adapting | adapt software for drive system | drive system software customising | adapting software for drive system | customise drive system software | customising drive system software | customize  software for drive system | software customising for drive system | adapting drive system software,skill/competence,cross-sector,Adapt and customise software to the specific machine or application.,programming computer systems
GIMP (graphics editor software),GNU Image Manipulation Program | GIMP,knowledge,sector-specific,The computer program GIMP is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by The GIMP Development Team.,computer use | graphics editor software
apply desktop publishing techniques,apply desktop publishing methods | apply desktop publishing technique | apply desktop publishing procedures | apply desktop publishing practices | apply desktop publishing techniques,skill/competence,cross-sector,Apply desktop publishing techniques to create page layouts and typographic quality text.,"using word processing, publishing and presentation software"
hardware components,hardware system parts | range of hardware components | parts for hardware systems | components of hardware systems | hardware components | types of hardware components | components for hardware systems | typology of hardware components | components of hardware | hardware system components,knowledge,cross-sector,"The essential components that make up a hardware system, such as liquid-crystal displays (LCD), camera sensors, microprocessors, memories, modems, batteries and their interconnections.",software and applications development and analysis
implement ICT coding conventions,implement ICT coding conventions | implement IT coding conventions | promote ICT coding conventions,skill/competence,occupation-specific,"Apply guidelines for ICT programming techniques, such as conventions, code design patterns and practices to achieve higher security, reliability, better readability and maintenance of the product.",programming computer systems
prepare sound equipment on stage,fit up stage sound | fitting sound on stage | fit up sound on stage | connect sound system on stage | fit up and rig sound on stage,skill/competence,sector-specific,"Set up, rig, connect, test and tune audio equipment on stage.",installing wooden and metal components
search engines,Yahoo | search engines | web search engine | Google | search engine,knowledge,sector-specific,The methods and techniques to navigate search engines and find information quickly.,"library, information and archival studies"
C#,C Sharp | C#,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in C#.",computer programming | software and applications development and analysis
tend CNC milling machine,monitor CNC milling machine cross slide | guard CNC milling machine | monitor CNC milling machine | watch over CNC milling machine cross slide | tend CNC milling machine | oversee CNC milling machine cross slide | guard CNC milling machine cross slide | oversee CNC milling machine | watch over CNC milling machine,skill/competence,cross-sector,"Tend a computer numerical controlled (CNC) milling machine designed for cutting manufacturing processes on metal, wooden, plastic materials and others, monitor and operate it, according to regulations.",using digital tools to control machinery
microsystem test procedures,test protocols for micro-systems | test procedures for microsystems | micro-system test procedures | testing protocols for microsystems | micro-system test protocols | test procedures for micro-systems | test protocols for microsystems | testing protocols for micro-systems | testing procedures for micro-systems | testing procedures for microsystems | microsystem test procedures,knowledge,sector-specific,"The methods of testing the quality, accuracy, and performance of microsystems and microelectromechanical systems (MEMS) and their materials and components before, during, and after the building of the systems, such as parametric tests and burn-in tests.",computer use
analyse scanned data of the body,examine scanned body data | analyse 3D scanner body data | analyze  scanned data of the body | examine and use scanned data of the body | analyse scanned body data | analyse 3D scanner data of the body | examine scanned data of the body | use 3D scanned data for computer-aided visualisation | use 3D scanned data for computer-aided visualization | examine and use scanned body data,skill/competence,sector-specific,"Analyse 3D scanned data for the development of prototypes, of avatars, for the creation of size charts, the garment pattern modification, alteration and manipulation, and for testing fit.",analysing and evaluating information and data | inspect data | analyse test data | think critically | use data processing techniques
manage ICT data architecture,manage ICT data architecture | define enterprise data architecture,skill/competence,sector-specific,"Oversee regulations and use ICT techniques to define the information systems architecture and to control data gathering, storing, consolidation, arrangement and usage in an organisation.",designing ict systems or applications
"manage data, information and digital content","manage data, information and digital content",skill/competence,cross-sector,"Organise, store and retrieve data, information and content in digital environments. Organise and process them in a structured environment.",managing information | digital data processing
MySQL,MySQL Enterprise Edition | MySQL Embedded (OEM/ISV) | MySQL Classic Edition | MySQL Standard Edition | MySQL | MySQL Cluster CGE,knowledge,sector-specific,"The computer program MySQL is a tool for creating, updating and managing databases, currently developed by the software company Oracle.",database and network design and administration | database management systems
design cloud networks,implement cloud network | create cloud network,skill/competence,sector-specific,"Apply cloud networking concepts and implement connectivity services of cloud. Given customer requirements, define network architectures on cloud, propose optimized designs based on the evaluation of an existing implementation. Evaluate and optimize cost allocations given a network design, its cloud resources, and application data flow.",designing ict systems or applications
use specialised equipment,use global positioning systems | specialised production equipment using | use electron microscope | use computer modelling | use digital imaging analysis | use specialised production equipment | use telemetry | using specialised production equipment | use specialized  equipment | specialised equipment using,skill/competence,sector-specific,"Use specialised equipment such as electron microscope, telemetry, digital imaging analysis, global positioning systems, and computer modelling in studies and analyses of production methodology.",operating scientific and laboratory equipment
TripleStore,TripleStore,knowledge,sector-specific,The RDF store or TripleStore is a database used for storage and retrieval of Resource Description Framework triples (subject-predicate-object data entities) which can be accessed by semantic queries.,database management systems | database and network design and administration
design failover solutions,design failover solutions,skill/competence,occupation-specific,Create and manage a system of backup or standby solution which is automatically triggered and becomes active in case the main system or application fails.,protecting ict devices | create solutions to problems
telecommunication trunking,telecommunication trunking,knowledge,sector-specific,The method of providing network access to many clients while keeping smaller number of connection components by grouping and sharing connection circuits and frequencies.,electronics and automation
manage findable accessible interoperable and reusable data,ensure data availability | ensure corrected data storing | support data reuse in research | ensure data reusability,skill/competence,cross-sector,"Produce, describe, store, preserve and (re) use scientific data based on FAIR (Findable, Accessible, Interoperable, and Reusable) principles, making data as open as possible, and as closed as necessary.",conducting academic or market research | manage data
upgrade firmware,upgrade firmware,skill/competence,cross-sector,"Update basic or integrated software included in devices, network components and embedded systems.",setting up computer systems
handle geospatial technologies,handling geospatial technologies | use GIS | use RS | handling geo-spatial technologies | use global positioning systems | geospatial technologies handling | geo-spatial technologies handling | use GPS | handle geospatial technologies | use geographical information systems | use remote sensing | handle geo-spatial technologies,skill/competence,sector-specific,"Can use Geospatial Technologies which involve GPS (global positioning systems), GIS (geographical information systems), and RS (remote sensing) in the daily work.",accessing and analysing digital data
firmware,firmware | built-in software | firmware program | read-only software | kinds of firmware | types of firmware | typology of firmware,knowledge,cross-sector,"Firmware is a software program with a read-only memory (ROM) and a set of instructions that is permanently inscribed on a hardware device. Firmware is commonly used in electronic systems such as computers, mobile phones, and digital cameras.",software and applications development and analysis
carry out bibliographic work,complete bibliographic work | make bibliographic work | oversee bibliographic work | carrying out bibliographic work | carry out bibliographic work | carry out bibliographic works | undertake bibliographic work,skill/competence,sector-specific,Perform bibliographic work; use computer or printed materials to identify and locate book titles as requested by customer.,providing information to the public and clients
